url,nome,generos,ano_formacao,anos_atividade,temas,ano_primeiro_lancamento,lancou_album_completo,gravadora_mais_recente
https://www.metal-archives.com/bands/Rosa_de_Saron/111842,Rosa de Saron,heavy|pop|rock,1988,1988-present,christianity|love,1990,True,Som Livre
https://www.metal-archives.com/bands/Rotborn/3540500762,Rotborn,death,2021,2021-present,nao_informado,2021,True,Redefining Darkness Records
https://www.metal-archives.com/bands/Rotting_Flesh/23411,Rotting Flesh,death|grindcore,1990,1990-1997,splatter|gore|sicknesses,1991,False,Lofty Storm Records
https://www.metal-archives.com/bands/Ru%C3%ADnas_de_R%27lyeh/3540467323,Ruínas de R'lyeh,sludge|doom,2019,2019-2021,lovecraft,2019,True,Orlög Black Art
https://www.metal-archives.com/bands/Rygel/41157,Rygel,melodic|heavy,2004,2004-present,everyday|life,2005,True,Unsigned/independent
https://www.metal-archives.com/bands/S.O.P.R.O./120977,S.O.P.R.O.,groove,2004,"2004-2005, 2005-2010 (as Instant Hate)",nao_informado,sem_lancamento,False,Unsigned/independent
https://www.metal-archives.com/bands/Sacrament/22711,Sacrament,black,1992,"1992-?, ?-present (as Imperial Pentagram)",hell|murder|anti-religion|apocalypse,2000,False,Unsigned/independent
https://www.metal-archives.com/bands/Sacramental_Carnage/101068,Sacramental Carnage,death|black,1992,1992-?,satanism|death|pain,1993,False,Unsigned/independent
https://www.metal-archives.com/bands/Sactor/3540303594,Sactor,thrash,2007,2007-present,booze|war|politics|religion,2008,False,Unsigned/independent
https://www.metal-archives.com/bands/Sadogoaterrorist/3540564511,Sadogoaterrorist,black|death,2020,2020-present,nao_informado,2025,False,Terrorismo 666 Productions
https://www.metal-archives.com/bands/Sadokult/3540529565,Sadokult,black,2019,2019-present,nao_informado,2022,False,Black Hearts Records
https://www.metal-archives.com/bands/Sadomystic/3540406839,Sadomystic,black,2014,2014-present,chaos|satanism|anti-christianity|occultism|death|darkness,2016,True,Abrasax Distro & Records
https://www.metal-archives.com/bands/Sadophallus/3540529564,Sadophallus,black,2010,2010-present,blasphemies|lust|violence,2023,False,Black Hearts Records
https://www.metal-archives.com/bands/Sagrada_Cruz/126383,Sagrada Cruz,heavy,1993,1993-?,christianity,1993,False,Unsigned/independent
https://www.metal-archives.com/bands/Sangre/3540423848,Sangre,death|thrash,2016,2016-present,false|flags|warmongering|propaganda,2017,True,Unsigned/independent
https://www.metal-archives.com/bands/Sangrena/5130,Sangrena,death,1998,1998-present,war|domination|violence,1999,True,Darzamadicus Records
https://www.metal-archives.com/bands/Sangrenta/87158,Sangrenta,heavy,2005,"2005-2010, 2011-?",war|sex|social|life|mythology|heavy,2006,False,Unsigned/independent
